Date,Values
2011-01-31,2.062236
2011-02-28,2.086304
2011-03-31,1.997
2011-04-30,2.07238
2011-05-31,2.107727
2011-06-30,2.04425
2011-07-31,2.087976
2011-08-31,1.878
2011-09-30,1.829523
2011-10-31,1.735625
2011-11-30,1.611904
2011-12-31,1.581973
2012-01-31,1.423815
2012-02-29,1.487976
2012-03-31,1.413625
2012-04-30,1.353068
2012-05-31,1.47738
2012-06-30,1.583095
2012-07-31,1.768695
2012-08-31,1.880263
2012-09-30,1.906704
2012-10-31,1.791
2012-11-30,1.559
2012-12-31,1.493333
2013-01-31,1.571315
2013-02-28,1.642125
2013-03-31,1.719659
2013-04-30,1.599659
2013-05-31,1.5105
2013-06-30,1.475113
2013-07-31,1.40125
2013-08-31,1.52325
2013-09-30,1.526739
2013-10-31,1.612631
2013-11-30,1.596309
2013-12-31,1.775595
2014-01-31,1.804736
2014-02-28,1.914523
2014-03-31,1.935714
2014-04-30,2.171309
2014-05-31,2.262976
2014-06-30,2.462386
2014-07-31,2.591309
2014-08-31,2.974047
2014-09-30,2.318369
2014-10-31,1.996805
2014-11-30,1.763295
2014-12-31,1.571375
2015-01-31,1.729342
2015-02-28,1.71659
2015-03-31,1.79369
2015-04-30,1.930875
2015-05-31,1.906477
2015-06-30,1.905568
2015-07-31,2.154166
2015-08-31,2.669047
2015-09-30,2.475681
2015-10-31,2.877894
2015-11-30,2.331818
2015-12-31,2.121447
2016-01-31,2.084
2016-02-29,1.960454
2016-03-31,2.056309
2016-04-30,2.055357
2016-05-31,2.263977
2016-06-30,2.273125
2016-07-31,2.177608
2016-08-31,1.995
2016-09-30,1.823928
2016-10-31,1.989875
2016-11-30,2.176309
2016-12-31,2.23925
2017-01-31,2.153421
2017-02-28,2.139239
2017-03-31,2.09921
2017-04-30,2.268409
2017-05-31,2.56875
2017-06-30,2.6195
2017-07-31,2.647282
2017-08-31,2.437
2017-09-30,2.329318
2017-10-31,2.224375
2017-11-30,2.20775
2017-12-31,2.15869
2018-01-31,2.121052
2018-02-28,2.201071
2018-03-31,2.314523
2018-04-30,2.375113
2018-05-31,2.327023
2018-06-30,2.236071
2018-07-31,2.300869
2018-08-31,2.254473
2018-09-30,2.26
2018-10-31,2.248
2018-11-30,2.207125
2018-12-31,2.239843
