,Net In Global,Net Out Global,Nb process http,Nb process php,Nb connection mysql,Disque read global,Disque write global,Cpu http,Cpu php,Cpu mysql,Cpu global,Ram http,Ram php,Ram mysql,Ram global
2020-09-11 20:35:00,0.06,0.09,230.0,33.0,46.0,0.0,172.04,0.99,17.89,8.69,7.89,1.8,2.9,10.7,22.08
2020-09-11 20:36:00,0.07,0.09,241.0,32.0,46.0,0.0,226.03,1.21,17.52,8.69,5.78,1.9,2.8,10.7,22.11
2020-09-11 20:37:00,0.06,0.08,196.0,32.0,42.0,0.0,280.97,0.16,17.2,8.69,5.79,2.0,2.9,10.7,22.25
2020-09-11 20:38:00,0.08,0.1,219.0,33.0,44.0,0.0,181.05,0.96,17.47,8.69,5.96,1.6,2.9,10.7,22.14
2020-09-11 20:39:00,0.1,0.13,200.0,35.0,58.0,0.0,163.82,0.15,18.79,8.69,8.75,1.8,3.0,10.7,22.31
2020-09-11 20:40:00,0.09,0.12,216.0,33.0,45.0,0.0,152.52,0.66,18.42,8.69,7.27,1.6,2.9,10.7,22.1
2020-09-11 20:41:00,0.09,0.12,212.0,32.0,51.0,0.0,160.19,0.17,17.15,8.69,6.36,1.8,2.9,10.7,22.16
2020-09-11 20:42:00,0.08,0.1,212.0,32.0,51.0,0.0,257.33,0.53,17.33,8.69,6.35,1.8,3.2,10.7,22.07
2020-09-11 20:43:00,0.08,0.1,244.0,36.0,46.0,0.0,262.42,1.26,19.48,8.69,6.96,1.9,3.2,10.7,22.17
2020-09-11 20:44:00,0.07,0.09,228.0,35.0,45.0,0.0,254.73,0.4,18.77,8.69,7.68,2.1,3.2,10.7,22.31
2020-09-11 20:45:00,0.06,0.09,206.0,34.0,42.0,0.0,259.75,0.05,17.91,8.69,6.84,1.9,2.9,10.7,22.02
2020-09-11 20:46:00,0.07,0.09,225.0,35.0,43.0,0.0,288.99,0.71,18.31,8.69,6.55,1.7,3.1,10.7,22.1
2020-09-11 20:47:00,0.08,0.1,219.0,36.0,43.0,0.0,319.49,0.21,19.25,8.69,7.31,2.0,3.2,10.7,22.07
2020-09-11 20:48:00,0.07,0.09,184.0,34.0,44.0,0.0,247.34,0.38,17.53,8.69,5.3,1.8,3.0,10.7,22.23
2020-09-11 20:49:00,0.1,0.13,230.0,32.0,61.0,0.0,302.63,1.61,16.83,8.69,5.97,1.8,3.1,10.7,22.31
2020-09-11 20:50:00,0.08,0.11,187.0,32.0,50.0,0.0,221.66,0.26,17.09,8.69,6.96,1.9,2.8,10.7,22.29
2020-09-11 20:51:00,0.08,0.11,181.0,32.0,51.0,0.0,157.99,0.17,17.21,8.69,5.57,1.6,2.9,10.7,22.17
2020-09-11 20:52:00,0.07,0.09,219.0,33.0,42.0,0.0,167.76,0.63,18.39,8.69,6.08,1.6,3.0,10.7,22.0
2020-09-11 20:53:00,0.07,0.09,197.0,36.0,48.0,0.0,255.46,0.13,19.74,8.69,6.2,2.0,3.3,10.7,21.99
2020-09-11 20:54:00,0.06,0.09,197.0,32.0,48.0,0.0,297.55,0.69,17.2,8.69,5.82,1.7,2.9,10.7,22.12
2020-09-11 20:55:00,0.06,0.09,190.0,34.0,40.0,0.0,312.8,0.03,17.86,8.69,5.86,1.9,3.2,10.7,22.17
2020-09-11 20:56:00,0.08,0.1,221.0,33.0,46.0,0.0,294.57,0.76,17.45,8.69,5.05,1.6,3.1,10.7,22.02
2020-09-11 20:57:00,0.06,0.08,199.0,34.0,46.0,0.0,276.73,0.17,19.21,8.69,5.08,1.9,3.0,10.7,22.1
2020-09-11 20:58:00,0.07,0.09,199.0,32.0,46.0,0.0,277.71,0.49,16.66,8.69,5.47,1.6,2.8,10.7,22.05
